entity_id,domain,state,area_id,area_name,friendly_name,restored,device_id,device_name,manufacturer,model,integration,classification,rationale
automation.room_ohana_suite_light_follow,automation,on,,,Room: Ohana Suite Light Follow,False,,,,,,move to Rental HA,room contract/control surface should live with the rental instance
automation.room_ohana_suite_scene_selector,automation,on,,,Room: Ohana Suite Scene Selector,False,,,,,,move to Rental HA,room contract/control surface should live with the rental instance
binary_sensor.1st_floor_guest_room_motion,binary_sensor,off,suite_bedroom,suite bedroom,1st floor Guest Room temp sensor 1st floor Guest Room Motion,False,13b45640d9d4dea72df6981f0d25de3c,1st floor Guest Room temp sensor,ecobee Inc.,EBERS41,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.1st_floor_guest_room_occupancy,binary_sensor,off,suite_bedroom,suite bedroom,1st floor Guest Room temp sensor 1st floor Guest Room Occupancy,False,13b45640d9d4dea72df6981f0d25de3c,1st floor Guest Room temp sensor,ecobee Inc.,EBERS41,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.contact_sensor,binary_sensor,off,den,Den,Contact Sensor AQ5 Contact Sensor,False,85a548fd0c6d4f9fa4fd1892f820dca4,Contact Sensor AQ5,Aqara,AS006,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.contact_sensor_2,binary_sensor,off,den,Den,Contact Sensor AQ4 Contact Sensor,False,304c42afb0743c175691c1ba2629fa3d,Contact Sensor AQ4,Aqara,AS006,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.contact_sensor_3,binary_sensor,off,den,Den,Contact Sensor AQ1 Contact Sensor,False,e42eebe2f62186df78b356869eb14a17,Contact Sensor AQ1,Aqara,AS006,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.contact_sensor_4,binary_sensor,on,den,Den,Contact Sensor AQ0 rental door Contact Sensor,False,92dbfd5488afc89213a2ff8e8ef6a5fd,Contact Sensor AQ0 rental door,Aqara,AS006,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.contact_sensor_5,binary_sensor,off,den,Den,Contact Sensor AQ3 Contact Sensor,False,c60ab6cfff40cfdb7a797c9b8a7bc6a3,Contact Sensor AQ3,Aqara,AS006,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.curtain_3_4616_calibration,binary_sensor,unavailable,suite_bedroom,suite bedroom,Calibration,True,5bc5442a88af37161741a5bc74078dca,ELK BT LED1,ELK-BLEDOM,RGB Controller,switchbot,retire/review,restored unavailable entity; do not migrate blindly
